country,doc_number,kind,date
US,20200000001,A1,20200102
US,20200000002,A1,20200102
US,20200000003,A1,20200102
US,20200000004,A1,20200102
US,20200000005,A1,20200102
US,20200000006,A1,20200102
US,20200000007,A1,20200102
US,20200000008,A1,20200102
US,20200000009,A1,20200102
US,20200000010,A1,20200102
US,20200000011,A1,20200102
US,20200000012,A1,20200102
US,20200000013,A1,20200102
US,20200000014,A1,20200102
US,20200000015,A1,20200102
US,20200000016,A1,20200102
US,20200000017,A1,20200102
US,20200000018,A1,20200102
US,20200000019,A1,20200102
US,20200000020,A1,20200102
US,20200000021,A1,20200102
US,20200000022,A1,20200102
US,20200000023,A1,20200102
US,20200000024,A1,20200102
US,20200000025,A1,20200102
US,20200000026,A1,20200102
US,20200000027,A1,20200102
US,20200000028,A1,20200102
US,20200000029,A1,20200102
US,20200000030,A1,20200102
US,20200000031,A1,20200102
US,20200000032,A1,20200102
US,20200000033,A1,20200102
US,20200000034,A1,20200102
US,20200000035,A1,20200102
US,20200000036,A1,20200102
US,20200000037,A1,20200102
US,20200000038,A1,20200102
US,20200000039,A1,20200102
US,20200000040,A1,20200102
US,20200000041,A1,20200102
US,20200000042,A1,20200102
US,20200000043,A1,20200102
US,20200000044,A1,20200102
US,20200000045,A1,20200102
US,20200000046,A1,20200102
US,20200000047,A1,20200102
US,20200000048,A1,20200102
US,20200000049,A1,20200102
US,20200000050,A1,20200102
US,20200000051,A1,20200102
US,20200000052,A1,20200102
US,20200000053,A1,20200102
US,20200000054,A1,20200102
US,20200000055,A1,20200102
US,20200000056,A1,20200102
US,20200000057,A1,20200102
US,20200000058,A1,20200102
US,20200000059,A1,20200102
US,20200000060,A1,20200102
US,20200000061,A1,20200102
US,20200000062,A1,20200102
US,20200000063,A1,20200102
US,20200000064,A1,20200102
US,20200000065,A1,20200102
US,20200000066,A1,20200102
US,20200000067,A1,20200102
US,20200000068,A1,20200102
US,20200000069,A1,20200102
US,20200000070,A1,20200102
US,20200000071,A1,20200102
US,20200000072,A1,20200102
US,20200000073,A1,20200102
US,20200000074,A1,20200102
US,20200000075,A1,20200102
US,20200000076,A1,20200102
US,20200000077,A1,20200102
US,20200000078,A1,20200102
US,20200000079,A1,20200102
US,20200000080,A1,20200102
US,20200000081,A1,20200102
US,20200000082,A1,20200102
US,20200000083,A1,20200102
US,20200000084,A1,20200102
US,20200000085,A1,20200102
US,20200000086,A1,20200102
US,20200000087,A1,20200102
US,20200000088,A1,20200102
US,20200000089,A1,20200102
US,20200000090,A1,20200102
US,20200000091,A1,20200102
US,20200000092,A1,20200102
US,20200000093,A1,20200102
US,20200000094,A1,20200102
US,20200000095,A1,20200102
US,20200000096,A1,20200102
US,20200000097,A1,20200102
US,20200000098,A1,20200102
US,20200000099,A1,20200102
US,20200000100,A1,20200102
US,20200000101,A1,20200102
US,20200000102,A1,20200102
US,20200000103,A1,20200102
US,20200000104,A1,20200102
US,20200000105,A1,20200102
US,20200000106,A1,20200102
US,20200000107,A1,20200102
US,20200000108,A1,20200102
US,20200000109,A1,20200102
US,20200000110,A1,20200102
US,20200000111,A1,20200102
US,20200000112,A1,20200102
US,20200000113,A1,20200102
US,20200000114,A1,20200102
US,20200000115,A1,20200102
US,20200000116,A1,20200102
US,20200000117,A1,20200102
US,20200000118,A1,20200102
US,20200000119,A1,20200102
US,20200000120,A1,20200102
US,20200000121,A1,20200102
US,20200000122,A1,20200102
US,20200000123,A1,20200102
US,20200000124,A1,20200102
US,20200000125,A1,20200102
US,20200000126,A1,20200102
US,20200000127,A1,20200102
US,20200000128,A1,20200102
US,20200000129,A1,20200102
US,20200000130,A1,20200102
US,20200000131,A1,20200102
US,20200000132,A1,20200102
US,20200000133,A1,20200102
US,20200000134,A1,20200102
US,20200000135,A1,20200102
US,20200000136,A1,20200102
US,20200000137,A1,20200102
US,20200000138,A1,20200102
US,20200000139,A1,20200102
US,20200000140,A1,20200102
US,20200000141,A1,20200102
US,20200000142,A1,20200102
US,20200000143,A1,20200102
US,20200000144,A1,20200102
US,20200000145,A1,20200102
US,20200000146,A1,20200102
US,20200000147,A1,20200102
US,20200000148,A1,20200102
US,20200000149,A1,20200102
US,20200000150,A1,20200102
